CUSTOMER_ID,EMAIL_ID,FIRST_NAME,LAST_NAME,OCCUPATION,DOB
2333,lisa10@example.net,Brian,Higgins,Student,1996-08-29
2334,jasonmacdonald@example.com,David,Adams,Blue-Collar,1980-10-18
2335,richardsummers@example.com,Leslie,Jones,Clerical,1983-09-20
2336,elizabethroberson@example.net,Donald,Ayers,Student,2004-02-08
2337,christina06@example.org,Jeremy,Williams,Student,2002-12-08
2338,ryanbarnett@example.org,Laura,Gordon,Clerical,1996-02-12
2339,philiplong@example.org,Linda,Ramirez,Lawyer,1972-12-01
2340,jennifer72@example.com,Tonya,Fritz,Clerical,1986-09-04
2341,kflores@example.net,Dana,Santos,"Blue Collar",1976-07-11
2342,douglas40@example.com,Kendra,Brennan,Clerical,1998-04-25
2343,rochajames@example.com,Jeffery,Armstrong,Clerical,1980-12-18
2344,millerlauren@example.net,Cynthia,Johnson,"Home Maker",1990-08-10
2345,gonzalesgrant@example.net,Brianna,Gibson,Doctor,1977-07-05
2346,joshuathompson@example.com,Russell,Clarke,Professional,1970-02-20
2347,jason59@example.net,Kimberly,Murphy,"Home Maker",1996-01-07
2348,pottercarla@example.net,Sarah,Sullivan,Student,1996-02-16
2349,shanejames@example.com,Susan,Williams,"Home Maker",2000-10-24
2350,gjackson@example.org,Jennifer,Gonzalez,Student,2004-01-07
2351,zlara@example.net,Ronnie,Beck,Clerical,1982-03-06
2352,eandersen@example.com,David,Brady,Manager,1993-09-27
2353,chadnguyen@example.net,Dennis,Castillo,Blue-Collar,1998-02-11
2354,andreaschroeder@example.net,Tiffany,Hood,Doctor,1994-03-08
2355,dholmes@example.com,Jeffrey,Mason,Lawyer,1992-12-16
2356,amy46@example.net,Lydia,Austin,Doctor,1971-11-18
2357,davidgarza@example.com,Sharon,Wiggins,Blue-Collar,1978-02-17
2358,rachel47@example.org,Michelle,Baker,Professional,1982-01-27
2359,hpotter@example.org,Adriana,Walker,"Home Maker",1977-10-10
2360,kingcody@example.com,Christian,Blair,Clerical,1982-03-06
2361,bradleygreen@example.org,Justin,Smith,Lawyer,1998-07-14
2362,lisa94@example.com,Elizabeth,Jones,Blue-Collar,1981-10-04
2363,kingshawn@example.org,Joshua,Wagner,Clerical,1977-03-18
2364,imason@example.net,Joshua,Jones,Professional,1984-01-21
2365,nicolewilliams@example.com,Lynn,Davies,Manager,1995-08-05
2366,ecarpenter@example.net,Charles,Collins,Professional,2001-10-23
2367,virginia87@example.com,Travis,Williams,Student,2000-05-13
2368,hwest@example.org,Sarah,Ramirez,Lawyer,1990-03-25
2369,daviszachary@example.net,Jennifer,Thompson,Professional,1999-07-18
2370,william71@example.net,Anna,Forbes,Clerical,1976-10-03
2371,rodriguezjohnny@example.com,William,Obrien,Student,2000-06-07
2372,brian26@example.net,Shawn,Williams,Doctor,1993-04-17
2373,lesliecooper@example.net,Stephanie,Baird,Manager,1990-06-03
2374,foxjoshua@example.com,John,Molina,"Blue Collar",1981-12-12
2375,newmanlori@example.com,Jessica,Schwartz,Professional,2003-10-23
